Building Name,Street Address,Unit,City,State,Zip Code
Avenue Apartments,123 Test St,101,Seattle,Washington,98122
Avenue Apartments,123 Test St,102,Seattle,Washington,98122
Avenue Apartments,123 Test St,103,Seattle,Washington,98122
Avenue Apartments,123 Test St,104,Seattle,Washington,98122
Avenue Apartments,123 Test St,105,Seattle,Washington,98122
Avenue Apartments,123 Test St,106,Seattle,Washington,98122
Avenue Apartments,123 Test St,107,Seattle,Washington,98122
Avenue Apartments,12 North Ave,101,Seattle,Washington,98122
Avenue Apartments,12 North Ave,102,Seattle,Washington,98122
Avenue Apartments,12 North Ave,103,Seattle,Washington,98122
4230 Main St.,4230 Main St.,,Seattle,Washington,98105
Avenue Apartments,123 Test St,101,Seattle,Washington,98122
Avenue Apartments,12 North Ave,101,Spokane,Washington,98765
Avenue Apartments,12 North Ave,101,Seattle,Washington,98105
Avenue Apartments,12 North Ave.,101,Seattle,Washington,98122
Boulevard Lofts,123 Test St,101,Seattle,Washington,98122
Boulevard Lofts,123 Test ST,102,Seattle,Washington,98122
BOULEVARD LOFTS,123 TEST ST,101,Seattle,Washington,98122
boulevard lofts,123 test st,101,seattle,washington,98122
Boulevard Lofts,123 Test St,,Seattle,Washington,98122
,,,,,
569 Pine Dr.,569 Pine Dr.,,Seattle,Washington,19345
